"","name","affiliation"
"145","Smith, R. M.","Sageland Collaborative"
"146","Snell, K. E.","Univ. Colorado"
"147","Solomon, D. K.","Univ. Utah"
"148","Spencer, L.","Oregon State Univ."
"149","Sprenger, M.","Lawrence Berkeley National Lab"
"150","St-Jean, G.","Univ. Ottawa"
"151","Stewart, J.","SLC Dept. Public Utilities"
"152","Still, C. J.","Oregon State Univ."
"153","Strong, C.","Univ. Utah"
"154","Suh, Y. J.","Korea Inst. Ocean Sci. and Techology"
"155","Tai, X.","New Jersey Inst. Technology"
"156","Talavera, G.",NA
"157","Talla, V. N. K.",NA
"158","Tao, J.","Yunnan Univ."
"159","Thompson, L. G.","Ohio State Univ."
"160","Tian, L.","Yunnan Univ."
"161","Trueman, C. N.","Univ. Southampton"
"162","Tulley-Cordova, C. L.","Univ. Utah"
"163","Uno, K. T.",NA
"164","Valenzuela, L. O.","Univ. Nacional de Buenos Aires"
"165","Vander Zanden, H. B.","Univ. Utah"
"166","Vaughn, B.","Univ. Colorado"
"167","Venturas, M. D.","Universidad Politecnica de Madrid"
"168","Vila, R.",NA
"169","Voigt, C. C.","Leibnitz Inst. Zoology, Germany"
"170","Wang, D.","Yunnan Univ."
"171","Wang, X.","Yunnan Univ."
"172","Wang, Y.","Yunnan Univ."
"173","Wassenaar, L. I.","Intl. Atomic Energy Agency"
"174","Wei, Z.","Sun Yat-sen Univ., China"
"175","Werne, J. P.","Univ. Pittsburgh"
"176","Werner, M.","Alfred Wegener Inst."
"177","West, J. B.","Texas A&M Univ."
"178","Windler, G.","Univ. Arizona"
"179","Wing, S. L.","Smithsonian Inst."
"180","Wolf, M. A.","Univ. Utah"
"181","Woo, J.","Purdue Univ."
"182","Wooller, M. J.","Univ. Alaska, Fairbanks"
"183","Wu, G.","Chinese Academy of Sciences"
"184","Wu, Q.","Chinese Academy of Sciences"
"185","Wunder, M. B.","Colorado State Univ."
"186","Xu, B.","Chinese Academy of Sciences"
"187","Yang, D.","American Museum of Natural History"
"188","Yoshimura, K.","Univ. Tokyo"
"189","Yu, W.","Chinese Academy of Sciences"
"190","Zhang, J.","Chinese Academy of Sciences"
"191","Zhao, L.","Purdue Univ."
